260
250, ,9.339,9.506, ,9.357,9.456, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
240
230
220, ,12.915, ,12.532,11.189,11.102,11.201, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
210
200, ,12.043, , ,10.048,10.707,10.146,10.333,9.115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
190, ,11.376, , ,11.774,9.834,9.528,9.309,9.138, ,9.66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
180, , , , ,9.693,9.68,8.253,8.754, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
170, , ,9.375, , ,9.444,9.016,8.233,8.01,8.024, ,7.96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160, , , , , ,8.473,8.477,8.217,7.907,7.823, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
150, , , , , ,8.382,7.834,7.758,8.038,7.802,6.84,7.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, , , , , ,7.529,8.147,7.652,7.254,6.883,6.497,6.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130, , , , , , , , ,7.153,7.243,7.212,6.937,6.335, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120, , , , , , , , , ,7.142,6.503,6.557,6.552,6.269,5.986,6.268,5.979, ,6.033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110, , , , , , , , , ,6.64,7.092,5.819,6.012,5.549,5.496,5.978, ,5.723,5.312,5.253, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100, , , , , , , , , , ,6.728, , ,5.708,5.575,5.558, ,5.29,5.298, ,5.364,5.366, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90, , , , , , , , , ,6.021, , ,5.631, , ,4.617,4.946,4.894,4.832, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , , , , , , , ,4.647, , ,4.974,4.729, , ,4.317,4.222,4.342,4.416,4.327,4.037, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , ,4.407, ,4.12,4.031,3.944,4.224,3.714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , , , , ,3.58, ,3.61,3.512,3.816,3.905, ,3.612, , ,4.136,3.513,3.26, ,3.62,3.46,3.489,3.483, ,3.955, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , , , , , , , , , , , , , , , , , , ,3.593,3.533,3.351,3.058,3.223,3.39,3.222, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,3.435, , , , , , , , , , , , , , , , , , , ,3.119,3.22,3.057,2.98,3.184,3.153, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30, , , , , , , , , , , , , , , , , , , ,2.931,2.946,2.89,3.105,2.923,3.119,3.197,2.871, , , , , , , , , , , ,2.71,2.694, , , , , ,2.648, , , , , , , , , , , , , , , , 
20, , , , , , , , , , , , , , ,3.014, , , , , , , , , , ,2.866, , , , , , , , , , , , , , ,2.738, , , , , , , , ,3.054, ,2.753, ,2.897,2.783,2.836,2.959,2.672,2.805,2.744, , 
10, , , , , , , , , , , , , , , , , , , , , , , , ,2.765, , , , , , , , , , , , , , , , , , , , , , , ,2.803, ,3.016,2.708,2.658,2.86,2.518,2.696, ,2.679,2.739, , ,2.721
 ,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,1220,1240,1260,1280,1300,1320
